MQ2,MQ4,MQ5,MQ7,MQ135
134,267,441,622,343
135,268,439,622,344
134,269,440,621,343
137,267,441,620,343
136,267,440,621,344
137,266,440,619,344
137,268,439,620,341
137,266,439,621,342
135,267,439,618,343
136,267,439,620,344
136,267,439,622,341
137,267,439,620,340
135,268,438,621,341
135,267,440,620,341
134,268,439,620,342
135,268,439,622,344
136,267,440,622,344
136,267,441,621,344
134,267,440,620,343
135,269,442,624,346
135,269,441,623,346
134,269,442,623,346
136,268,440,624,346
136,268,441,623,345
135,269,442,626,347
137,269,443,624,346
134,268,442,623,343
135,269,440,624,344
136,270,444,626,346
136,270,441,623,345
135,267,437,620,339
134,267,438,620,342
134,265,434,614,340
135,268,439,620,342
135,265,437,615,338
133,268,437,617,339
135,267,437,620,341
135,268,438,618,340
134,267,439,618,340
137,267,439,620,342
135,267,438,619,341
136,267,439,621,341
136,266,438,620,341
136,267,439,620,341
137,266,439,621,343
136,266,440,620,342
135,268,439,619,341
136,267,440,620,341
137,267,437,621,340
135,268,438,620,342
135,268,440,621,341
136,267,440,623,345
137,270,442,624,345
136,269,441,625,346
135,269,442,623,347
136,268,442,624,345
135,270,441,626,348
134,268,442,624,345
136,267,442,623,343
137,267,440,621,344
136,267,439,622,345
137,267,441,624,347
135,268,440,623,345
135,270,442,622,345
138,270,444,628,349
137,270,443,630,348
135,270,443,629,348
134,267,441,622,346
138,270,444,627,349
137,268,441,624,350
135,269,440,621,345
135,270,444,627,350
135,269,440,623,347
136,268,441,624,346
134,267,439,622,346
134,268,440,621,346
136,267,439,623,346
136,270,444,629,349
136,267,441,623,346
136,268,441,624,347
138,270,443,629,350
137,271,444,629,349
138,269,442,629,350
136,269,442,630,350
135,271,443,628,350
136,267,442,626,346
135,272,443,630,350
137,270,442,630,348
136,269,442,625,347
137,268,444,627,348
135,272,442,629,349
137,270,443,628,348
137,269,442,628,347
136,269,441,626,347
136,272,442,629,348
136,270,444,626,348
136,268,441,624,347
135,269,440,624,346
136,269,442,625,347
137,268,441,625,346
137,268,442,624,347
136,268,440,625,344
136,270,444,630,347
137,270,441,624,346
136,270,444,628,348
137,268,441,625,346
136,269,444,627,347
135,269,440,626,346
136,268,441,624,347
137,269,442,625,347
135,269,444,627,349
136,269,444,629,351
136,269,440,626,348
135,268,440,624,347
137,269,444,627,347
137,270,443,629,350
135,269,441,627,349
136,270,444,627,350
135,270,441,624,347
135,268,442,624,347
136,268,440,626,346
136,269,444,628,349
136,268,442,624,347
138,270,444,629,351
137,268,443,627,349
137,270,442,624,348
137,269,443,627,348
137,268,444,627,346
138,269,442,626,348
135,271,441,626,349
135,270,444,629,348
135,269,442,626,347
135,268,443,629,347
136,268,442,625,346
137,268,441,624,348
137,269,440,625,347
137,267,441,624,347
138,269,441,625,348
138,268,440,626,346
136,270,441,624,346
138,268,439,623,346
137,268,440,624,347
136,268,441,622,347
135,267,439,624,346
135,268,440,623,346
136,267,441,623,346
134,267,440,624,346
135,268,439,624,347
137,267,439,625,345
136,268,441,623,345
137,267,441,623,345
135,267,440,623,347
136,269,440,625,346
137,268,439,624,348
136,269,439,624,345
138,269,441,627,348
135,271,442,627,347
137,269,441,626,348
135,270,440,623,345
138,269,440,623,346
138,269,440,623,345
137,267,439,621,345
137,267,439,622,346
137,268,438,623,346
137,269,439,622,345
137,268,439,622,345
137,266,440,623,345
136,268,439,621,346
135,267,440,623,345
136,268,440,623,347
137,269,440,622,347
138,267,439,622,345
138,267,439,624,345
139,269,440,620,344
137,268,439,623,344
137,268,440,623,344
138,269,439,624,345
136,268,440,622,345
139,269,441,625,346
137,269,441,622,344
137,267,441,622,343
137,267,439,624,343
136,267,439,624,344
137,266,439,622,343
138,268,440,623,344
137,269,441,622,344
137,269,440,623,345
