MQ2,MQ4,MQ5,MQ7,MQ135,,,,,
128,306,493,627,378,,,,,
127,299,492,630,380,,,,,
126,299,492,629,378,,,,,
128,303,494,630,378,,,,,
127,291,495,628,379,,,,,
126,290,495,629,379,,,,,
128,293,494,628,377,,,,,
126,291,496,628,378,,,,,
127,293,493,628,379,,,,,
125,292,493,628,380,,,,,
129,292,493,628,378,,,,,
125,290,492,629,379,,,,,
127,298,490,628,379,,,,,
127,304,490,628,379,,,,,
127,296,490,629,379,,,,,
125,297,491,629,378,,,,,
126,296,492,628,378,,,,,
126,295,492,627,380,,,,,
126,296,491,628,378,,,,,
124,296,492,627,380,,,,,
126,301,491,628,378,,,,,
127,294,492,628,378,,,,,
124,293,490,629,379,,,,,
125,293,493,629,377,,,,,
125,290,492,629,379,,,,,
125,289,494,629,379,,,,,
128,290,493,627,377,,,,,
127,296,494,627,377,,,,,
125,298,493,629,379,,,,,
125,299,494,626,379,,,,,
126,290,493,628,376,,,,,
127,301,494,627,378,,,,,
125,314,496,628,377,,,,,
127,299,496,628,376,,,,,
125,298,495,627,378,,,,,
124,300,496,628,377,,,,,
127,305,495,627,379,,,,,
127,299,497,626,379,,,,,
124,291,495,627,378,,,,,
125,293,495,627,378,,,,,
125,292,496,628,376,,,,,
125,290,497,628,378,,,,,
125,291,497,628,378,,,,,
125,300,497,626,375,,,,,
124,290,497,628,376,,,,,
127,288,495,627,378,,,,,
125,298,496,628,376,,,,,
127,298,500,628,378,,,,,
127,290,497,626,377,,,,,
127,293,499,626,376,,,,,
125,289,495,628,378,,,,,
127,289,500,627,376,,,,,
126,296,496,628,377,,,,,
125,295,497,625,375,,,,,
127,290,495,627,376,,,,,
124,291,496,626,378,,,,,
127,291,495,626,377,,,,,
126,289,496,625,377,,,,,
123,295,495,627,377,,,,,
124,292,495,625,375,,,,,
127,287,493,626,376,,,,,
125,287,494,628,375,,,,,
128,288,493,627,377,,,,,
127,287,495,626,376,,,,,
125,288,494,626,375,,,,,
127,293,494,626,378,,,,,
126,292,495,626,375,,,,,
125,292,496,625,374,,,,,
124,294,495,628,376,,,,,
123,291,495,624,375,,,,,
124,292,496,626,375,,,,,
127,289,496,625,376,,,,,
127,292,497,627,374,,,,,
127,289,498,626,376,,,,,
123,290,500,627,377,,,,,
125,288,495,626,376,,,,,
127,293,495,625,376,,,,,
124,288,493,627,375,,,,,
124,287,495,626,375,,,,,
127,287,494,627,374,,,,,
127,289,494,625,376,,,,,
125,293,499,624,375,,,,,
125,290,497,626,375,,,,,
125,288,497,624,377,,,,,
125,289,497,625,376,,,,,
126,291,495,626,375,,,,,
126,293,497,625,374,,,,,
126,294,503,624,374,,,,,
126,294,501,625,374,,,,,
124,292,502,626,374,,,,,
125,293,498,625,376,,,,,
125,294,500,624,375,,,,,
123,295,498,626,374,,,,,
124,289,497,624,375,,,,,
126,287,498,626,376,,,,,
125,286,498,624,374,,,,,
123,286,499,624,375,,,,,
123,284,496,625,375,,,,,
124,286,498,625,374,,,,,
124,283,497,626,376,,,,,
125,286,496,625,375,,,,,
126,284,495,625,375,,,,,
126,285,493,624,375,,,,,
124,284,493,624,375,,,,,
125,285,495,623,374,,,,,
123,284,494,625,376,,,,,
124,283,495,624,376,,,,,
123,285,495,625,375,,,,,
123,283,495,625,374,,,,,
125,283,493,624,376,,,,,
123,284,493,624,374,,,,,
124,284,493,625,374,,,,,
123,283,494,625,375,,,,,
124,284,493,624,376,,,,,
125,284,492,625,375,,,,,
126,284,494,624,375,,,,,
123,283,494,623,376,,,,,
125,284,494,625,374,,,,,
123,283,495,624,374,,,,,
124,283,493,624,375,,,,,
124,283,493,623,374,,,,,
124,284,494,624,375,,,,,
123,286,495,624,374,,,,,
123,283,497,625,375,,,,,
125,285,497,624,374,,,,,
125,283,496,623,374,,,,,
123,284,498,622,375,,,,,
125,285,498,622,375,,,,,
124,283,497,624,373,,,,,
123,285,497,624,376,,,,,
123,282,495,622,373,,,,,
126,284,495,624,373,,,,,
124,285,496,622,373,,,,,
125,283,496,623,375,,,,,
123,285,495,622,375,,,,,
123,285,496,623,374,,,,,
124,283,495,623,374,,,,,
123,286,496,623,374,,,,,
123,285,496,624,376,,,,,
123,284,494,623,376,,,,,
124,283,493,624,375,,,,,
123,283,494,623,375,,,,,
124,284,493,623,375,,,,,
125,285,494,624,375,,,,,
123,282,494,622,372,,,,,
124,284,492,622,373,,,,,
124,285,493,621,374,,,,,
122,283,492,622,373,,,,,
124,283,493,622,375,,,,,
125,282,491,622,375,,,,,
125,285,492,621,375,,,,,
124,283,491,624,375,,,,,
123,283,492,622,373,,,,,
121,283,493,623,374,,,,,
124,285,490,622,373,,,,,
125,284,492,623,373,,,,,
124,283,491,623,374,,,,,
122,285,492,623,375,,,,,
123,284,491,621,373,,,,,
124,283,492,621,374,,,,,
123,283,493,622,374,,,,,
124,284,492,623,374,,,,,
